word,freq,score,flags,syllables,search
ein,20,300,c,1,line
fine,24,300,bc,1,line
nine,24,300,bc,1,line
sign,24,300,bc,1,line
mine,23,300,bc,1,line
wine,23,300,bc,1,line
pine,21,300,bc,1,line
shine,21,300,bc,1,line
shrine,21,300,bc,1,line
thine,21,300,bc,1,line
dine,20,300,bc,1,line
sine,20,300,bc,1,line
vine,20,300,bc,1,line
align,19,300,bc,2,line
brine,19,300,bc,1,line
sein,19,300,c,1,line
tine,18,300,bc,1,line
whine,18,300,bc,1,line
zine,15,300,bc,1,line
aline,13,300,bc,2,line
assign,21,300,bc,2,line
spine,21,300,bc,1,line
resign,20,300,bc,2,line
refine,19,300,bc,2,line
swine,19,300,bc,1,line
twine,18,300,bc,1,line
affine,17,300,c,2,line
malign,17,300,bc,2,line
opine,15,300,bc,2,line
stein,15,300,bc,1,line
design,25,300,bc,2,line
divine,24,300,bc,2,line
decline,23,300,bc,2,line
define,23,300,bc,2,line
benign,21,300,bc,2,line
iodine,20,300,bc,3,line
incline,19,300,bc,2,line
supine,19,300,bc,2,line
proline,17,300,"",2,line
thymine,17,300,b,2,line
enshrine,16,300,bc,2,line
recline,16,300,bc,2,line
realign,15,300,bc,3,line
reassign,15,300,bc,3,line
cosign,12,300,b,2,line
alkaline,21,300,bc,3,line
confine,20,300,bc,2,line
atropine,18,300,b,3,line
cysteine,18,300,"",2,line
palatine,18,300,bc,3,line
pyridine,18,300,"",3,line
redefine,18,300,bc,3,line
redesign,18,300,bc,3,line
thiamine,18,300,b,3,line
underline,18,300,bc,3,line
consign,17,300,bc,2,line
saccharine,17,300,bc,3,line
anodyne,16,300,b,3,line
waterline,16,300,b,3,line
asinine,15,300,bc,3,line
calamine,15,300,bc,3,line
entwine,15,300,bc,2,line
interline,14,300,b,3,line
dopamine,20,300,c,3,line
endocrine,20,300,bc,3,line
undermine,20,300,bc,3,line
borderline,19,300,bc,3,line
centerline,17,300,"",3,line
exocrine,17,300,"",3,line
hyperfine,17,300,"",3,line
monoamine,17,300,"",3,line
anticline,16,300,bc,3,line
recombine,16,300,bc,3,line
columbine,15,300,bc,3,line
crinoline,15,300,b,3,line
superfine,15,300,b,3,line
timberline,15,300,bc,3,line
valentine,15,300,bc,3,line
eglantine,14,300,bc,3,line
celandine,13,300,bc,3,line
reconsign,9,300,b,3,line
crystalline,21,300,bc,3,line
epinephrine,19,300,b,4,line
turpentine,19,300,bc,3,line
concubine,18,300,bc,3,line
serpentine,18,300,bc,3,line
imipramine,17,300,"",4,line
porcupine,17,300,bc,3,line
byzantine,15,300,bc,3,line
intertwine,15,300,bc,3,line
disincline,12,300,bc,3,line
clementine,10,300,bc,3,line
lacustrine,17,300,"",3,line
neuroendocrine,17,300,"",4,line
norepinephrine,19,300,"",5,line
tetracycline,18,300,b,5,line
noncrystalline,14,300,b,4,line
polycrystalline,17,300,"",5,line
lime,21,264,bc,1,line
rhyme,20,264,bc,1,line
rime,18,264,b,1,line
time,28,264,bc,1,line
crime,23,264,bc,1,line
prime,22,264,bc,1,line
climb,21,264,bc,1,line
clime,18,264,b,1,line
dime,18,264,bc,1,line
hym,18,264,"",1,line
slime,18,264,bc,1,line
beim,17,264,c,1,line
chime,17,264,bc,1,line
grime,17,264,bc,1,line
heing,17,264,"",1,line
mime,17,264,bc,1,line
thyme,17,264,bc,1,line
chyme,16,264,b,1,line
sublime,21,264,bc,2,line
birdlime,13,264,b,2,line
sauteing,13,264,b,2,line
anteing,9,264,b,2,line
begrime,9,264,b,2,line
maritime,21,264,bc,3,line
paradigm,21,264,bc,3,line
overtime,19,264,bc,3,line
anytime,18,264,bc,3,line
lysozyme,17,264,"",3,line
onetime,17,264,bc,2,line
mistime,9,264,b,2,line
summertime,17,264,bc,3,line
dinnertime,16,264,bc,3,line
suppertime,15,264,b,3,line
pantomime,18,264,bc,3,line
mesenchyme,17,264,"",3,line
wintertime,16,264,bc,3,line
flexitime,13,264,b,3,line
environ,17,228,"",2,line
dime,18,300,bc,1,time
beim,17,300,c,1,time
chime,17,300,bc,1,time
chyme,16,300,b,1,time
prime,22,300,bc,1,time
lime,21,300,bc,1,time
rhyme,20,300,bc,1,time
hym,18,300,"",1,time
rime,18,300,b,1,time
mime,17,300,bc,1,time
thyme,17,300,bc,1,time
crime,23,300,bc,1,time
climb,21,300,bc,1,time
clime,18,300,b,1,time
slime,18,300,bc,1,time
grime,17,300,bc,1,time
sublime,21,300,bc,2,time
overtime,19,300,bc,3,time
anytime,18,300,bc,3,time
onetime,17,300,bc,2,time
birdlime,13,300,b,2,time
begrime,9,300,b,2,time
mistime,9,300,b,2,time
maritime,21,300,bc,3,time
paradigm,21,300,bc,3,time
summertime,17,300,bc,3,time
dinnertime,16,300,bc,3,time
suppertime,15,300,b,3,time
pantomime,18,300,bc,3,time
lysozyme,17,300,"",3,time
mesenchyme,17,300,"",3,time
wintertime,16,300,bc,3,time
flexitime,13,300,b,3,time
pine,21,264,bc,1,time
dine,20,264,bc,1,time
ein,20,264,c,1,time
tine,18,264,bc,1,time
line,26,264,bc,1,time
fine,24,264,bc,1,time
nine,24,264,bc,1,time
sign,24,264,bc,1,time
mine,23,264,bc,1,time
wine,23,264,bc,1,time
shine,21,264,bc,1,time
spine,21,264,bc,1,time
thine,21,264,bc,1,time
sine,20,264,bc,1,time
vine,20,264,bc,1,time
brine,19,264,bc,1,time
sein,19,264,c,1,time
twine,18,264,bc,1,time
whine,18,264,bc,1,time
heing,17,264,"",1,time
opine,15,264,bc,2,time
stein,15,264,bc,1,time
zine,15,264,bc,1,time
design,25,264,bc,2,time
divine,24,264,bc,2,time
define,23,264,bc,2,time
assign,21,264,bc,2,time
benign,21,264,bc,2,time
shrine,21,264,bc,1,time
iodine,20,264,bc,3,time
align,19,264,bc,2,time
supine,19,264,bc,2,time
swine,19,264,bc,1,time
affine,17,264,c,2,time
aline,13,264,bc,2,time
sauteing,13,264,b,2,time
anteing,9,264,b,2,time
decline,23,264,bc,2,time
resign,20,264,bc,2,time
refine,19,264,bc,2,time
cysteine,18,264,"",2,time
malign,17,264,bc,2,time
proline,17,264,"",2,time
thymine,17,264,b,2,time
anodyne,16,264,b,3,time
entwine,15,264,bc,2,time
cosign,12,264,b,2,time
confine,20,264,bc,2,time
dopamine,20,264,c,3,time
undermine,20,264,bc,3,time
incline,19,264,bc,2,time
atropine,18,264,b,3,time
palatine,18,264,bc,3,time
pyridine,18,264,"",3,time
redefine,18,264,bc,3,time
redesign,18,264,bc,3,time
thiamine,18,264,b,3,time
underline,18,264,bc,3,time
consign,17,264,bc,2,time
